OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
258596;1;"{""coordinates"": [-0.3891729598620798, 39.49269404008707], ""type"": ""Point""}";39.49269404008707, -0.3891729598620798
258599;1;"{""coordinates"": [-0.38945779463600183, 39.493743414138876], ""type"": ""Point""}";39.493743414138876, -0.38945779463600183
258600;1;"{""coordinates"": [-0.3863021611340627, 39.492369091337125], ""type"": ""Point""}";39.492369091337125, -0.3863021611340627
258601;1;"{""coordinates"": [-0.38536382140301545, 39.49287984085549], ""type"": ""Point""}";39.49287984085549, -0.38536382140301545
258602;1;"{""coordinates"": [-0.3850481401381109, 39.492630535766914], ""type"": ""Point""}";39.492630535766914, -0.3850481401381109
258606;1;"{""coordinates"": [-0.39253677317817853, 39.494000256430894], ""type"": ""Point""}";39.494000256430894, -0.39253677317817853
258607;1;"{""coordinates"": [-0.39132504453327654, 39.49430400494407], ""type"": ""Point""}";39.49430400494407, -0.39132504453327654
258609;1;"{""coordinates"": [-0.39357527666339825, 39.4955137186338], ""type"": ""Point""}";39.4955137186338, -0.39357527666339825
258615;1;"{""coordinates"": [-0.3874070199129759, 39.49441975324437], ""type"": ""Point""}";39.49441975324437, -0.3874070199129759
258620;2;"{""coordinates"": [-0.4057510715053113, 39.47826133688165], ""type"": ""Point""}";39.47826133688165, -0.4057510715053113
258621;1;"{""coordinates"": [-0.39341383529983526, 39.470879294634365], ""type"": ""Point""}";39.470879294634365, -0.39341383529983526
258625;1;"{""coordinates"": [-0.3996881967431126, 39.4809438405777], ""type"": ""Point""}";39.4809438405777, -0.3996881967431126
258629;1;"{""coordinates"": [-0.3929516369985333, 39.47356208583491], ""type"": ""Point""}";39.47356208583491, -0.3929516369985333
258630;1;"{""coordinates"": [-0.39404098728460496, 39.480741498912046], ""type"": ""Point""}";39.480741498912046, -0.39404098728460496
258635;1;"{""coordinates"": [-0.3945162328442861, 39.48281463222028], ""type"": ""Point""}";39.48281463222028, -0.3945162328442861
258639;1;"{""coordinates"": [-0.39185920725388135, 39.472033181950565], ""type"": ""Point""}";39.472033181950565, -0.39185920725388135
258640;2;"{""coordinates"": [-0.3915333541980449, 39.473762470550504], ""type"": ""Point""}";39.473762470550504, -0.3915333541980449
258641;1;"{""coordinates"": [-0.38991697067017766, 39.474059098112896], ""type"": ""Point""}";39.474059098112896, -0.38991697067017766
258648;1;"{""coordinates"": [-0.3849787708106796, 39.52778677771278], ""type"": ""Point""}";39.52778677771278, -0.3849787708106796
258651;1;"{""coordinates"": [-0.4029357109075463, 39.53665088305837], ""type"": ""Point""}";39.53665088305837, -0.4029357109075463
258655;1;"{""coordinates"": [-0.38202298752389663, 39.482947944100516], ""type"": ""Point""}";39.482947944100516, -0.38202298752389663
258658;1;"{""coordinates"": [-0.3836228231878915, 39.482562968910266], ""type"": ""Point""}";39.482562968910266, -0.3836228231878915
258660;1;"{""coordinates"": [-0.3963309559641966, 39.46167734982208], ""type"": ""Point""}";39.46167734982208, -0.3963309559641966
258664;1;"{""coordinates"": [-0.39811807341649846, 39.46220021076144], ""type"": ""Point""}";39.46220021076144, -0.39811807341649846
258665;1;"{""coordinates"": [-0.4015139420486214, 39.45938890681378], ""type"": ""Point""}";39.45938890681378, -0.4015139420486214
258672;1;"{""coordinates"": [-0.40659635330839183, 39.463571392950975], ""type"": ""Point""}";39.463571392950975, -0.40659635330839183
258675;1;"{""coordinates"": [-0.4086711822265458, 39.464175114751505], ""type"": ""Point""}";39.464175114751505, -0.4086711822265458
258677;1;"{""coordinates"": [-0.41462716171908504, 39.470183256934746], ""type"": ""Point""}";39.470183256934746, -0.41462716171908504
258683;1;"{""coordinates"": [-0.40071041420597725, 39.467000128612106], ""type"": ""Point""}";39.467000128612106, -0.40071041420597725
258684;2;"{""coordinates"": [-0.40091607559937487, 39.468267280412874], ""type"": ""Point""}";39.468267280412874, -0.40091607559937487
258686;2;"{""coordinates"": [-0.39673349064863034, 39.465619804104584], ""type"": ""Point""}";39.465619804104584, -0.39673349064863034
258698;1;"{""coordinates"": [-0.40564369910286996, 39.47122795164441], ""type"": ""Point""}";39.47122795164441, -0.40564369910286996
258705;1;"{""coordinates"": [-0.40023140383651434, 39.46728215604946], ""type"": ""Point""}";39.46728215604946, -0.40023140383651434
258711;1;"{""coordinates"": [-0.3972128026273192, 39.47159252826419], ""type"": ""Point""}";39.47159252826419, -0.3972128026273192
258712;1;"{""coordinates"": [-0.3960362823947204, 39.47160357638125], ""type"": ""Point""}";39.47160357638125, -0.3960362823947204
258717;1;"{""coordinates"": [-0.39375675320630027, 39.46595742943466], ""type"": ""Point""}";39.46595742943466, -0.39375675320630027
258724;1;"{""coordinates"": [-0.39509876117076853, 39.468743695981104], ""type"": ""Point""}";39.468743695981104, -0.39509876117076853
258725;2;"{""coordinates"": [-0.394481366732471, 39.4695538566311], ""type"": ""Point""}";39.4695538566311, -0.394481366732471
258734;1;"{""coordinates"": [-0.3989599882211915, 39.473878348855415], ""type"": ""Point""}";39.473878348855415, -0.3989599882211915
258735;2;"{""coordinates"": [-0.4030274783612164, 39.47221888362426], ""type"": ""Point""}";39.47221888362426, -0.4030274783612164
258737;1;"{""coordinates"": [-0.4004883854941409, 39.47766162395679], ""type"": ""Point""}";39.47766162395679, -0.4004883854941409
258739;2;"{""coordinates"": [-0.4032468990840228, 39.47871625999367], ""type"": ""Point""}";39.47871625999367, -0.4032468990840228
258740;2;"{""coordinates"": [-0.3247051777465361, 39.46951435814074], ""type"": ""Point""}";39.46951435814074, -0.3247051777465361
258741;1;"{""coordinates"": [-0.32975734029544296, 39.468089702969415], ""type"": ""Point""}";39.468089702969415, -0.32975734029544296
258742;2;"{""coordinates"": [-0.3302006330620965, 39.4672063745832], ""type"": ""Point""}";39.4672063745832, -0.3302006330620965
